,tettigoniidae_1,proscopiidae_1,ceratopogonidae_1,afidio_4,chrysomelidae_1,chalcidoidea_1,photinaidae_1,coccoidea_1,afidio_1,proscopiidae_2,reduviidae_1,coccoidea_2,proscopiidae_3,tenebrionidae_1,afidio_2,nymphalidae_1,pentatomidae_1,acrididae_2,mantispidae_1,romaleidae_3,gryllidae_1,romaleidae_2,vatidae_1,acrididae_3,afidio_3,chrysomelidae_2,coccoidea_3,coptopterygidae_1,coptopterygidae_2,reduviidae_2,tettigoniidae_2,thespidae_3,acrididae_1,alydidae_2,cicadellidae_1,hemiptera_1,heteronemiidae_2,lagarta_1,nabidae_1,pentatomidae_3,romaleidae_1,tettigoniidae_3,acrididae_4,acrididae_5,acrididae_6,alydidae_1,ascalaphidae_1,chrysomelidae_3,chrysomelidae_4,cicadellidae_2,coccinellidae_1,coptopterygidae_3,cupedidae_1,curculionoidea_1,hemiptera_4,heteronemiidae_1,lagarta_2,lagarta_3,lagarta_4,lagarta_5,mariposa_1,pentatomidae_2,pieridae_1,staphylinidae_1,thespidae_1,thespidae_2,vespidae_1,vespidae_2
AmbCea,34,5,0,0,2,0,3,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anadenanthera colubrina,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bauhinia cheilantha,17,6,0,0,15,0,4,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libidibia ferrea,2,2,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Cochlospermum vitifolium,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commiphora leptophloeos,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Combretum leprosum,10,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudobombax marginatum,30,2,0,0,11,0,3,0,0,0,5,0,0,1,0,2,1,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Handroanthus impetiginosus,8,0,0,18,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Aspidosperma pyrifolium,3,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mimosa tenuiflora,42,25,69,0,3,0,8,0,0,5,1,0,4,4,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Piptadenia stipulacea,76,41,0,37,2,43,5,25,0,2,2,9,7,1,0,0,1,2,2,2,1,1,1,1,3,0,0,1,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Ziziphus joazeiro,5,4,0,0,0,0,2,0,16,0,0,2,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cynophalla hastata,14,3,0,0,4,0,4,0,0,0,2,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PoiGar,3,1,0,0,2,0,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sebastiania macrocarpa,7,0,0,0,2,0,2,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
